Comment,Category
unknown,Liability:Transfer
steffs t3 landsi,Expense:Food:Restaurant
oxievangbadet,Expense:Fun
hemkop malmo pla,Expense:Food:Groceries
joe the juice a,Expense:Food:Cafe
tutto pizzeria,Expense:Food:Restaurant
bancosabadell,Expense:Other
coop norra parkg,Expense:Food:Groceries
savoy grill,Expense:Food:Restaurant
systembolaget ma,Expense:Alcohol:Shop
skanetrafiken 01,Expense:Transport:Public
chokladfabriken,Expense:Alcohol:Bar
gateau triangeln,Expense:Food:Cafe
grill meze lou,Expense:Food:Restaurant
skanetrafiken,Expense:Transport:Public
ikea svagertorp,Expense:Shopping
shoo grill och s,Expense:Food:Restaurant
iz ebbas skaffe,Expense:Food:Cafe
metro,Expense:Food:Groceries
klarna jollyroom,Expense:Shopping
mormors bageri,Expense:Food:Cafe
www sf se,Expense:Fun
pris bankkort ma,Expense:Other
pic nic,Expense:Food:Groceries
atm kontanten169,Expense:Other
sultan palace,Expense:Alcohol:Bar
comviq se,Expense:FixedCosts:Phone
patisseriet,Expense:Food:Cafe
ica nara tornet,Expense:Food:Groceries
nya trols bar,Expense:Alcohol:Bar
hylliebadet,Expense:Health:Sport
bellevuestadion,Expense:Health:Sport
de groenne kokke,Expense:Food:Restaurant
231 lagkagehuset,Expense:Food:Cafe
pressbyran 43652,Expense:Food:Groceries
malmo stadsbibli,Expense:Fun
lite off coffesh,Expense:Food:Cafe
espresso house 1,Expense:Food:Cafe
apotek hjartat m,Expense:Health:Other
ica kvantum malm,Expense:Food:Groceries
malmstens fisk a,Expense:Food:Restaurant
barista fiskareg,Expense:Food:Cafe
hogevallsbadet,Expense:Fun
sk poseidon,Expense:Health:Sport
systembolaget lu,Expense:Alcohol:Shop
iz tant hulda v,Expense:Shopping
hemmakvall lund,Expense:Food:Groceries
martas cafe,Expense:Food:Cafe
lundalampan,Expense:Shopping
gront och gott,Expense:Food:Restaurant
fakta q frederik,Expense:Shopping
haven enghavevej,Expense:Food:Restaurant
hallernes smoerr,Expense:Food:Restaurant
hv gruppen aps,Expense:Other
den kinesiske ko,Expense:Other
asa,Expense:Health:Other
exotic mix vala,Expense:Food:Cafe
8476427821,Liability:Transfer
arbejdernes land,Expense:Other
cafeen ved glypt,Expense:Food:Cafe
121 lagkagehuset,Expense:Food:Cafe
superbrugsen mat,Expense:Food:Restaurant
iberia,Expense:Travel
dsb kobenhavn au,Expense:Transport:Public
overfor cafe ba,Expense:Food:Restaurant
kafe doffelin,Expense:Food:Cafe
espresso house 2,Expense:Food:Cafe
apoteket triange,Expense:Health:Other
subway baltzarga,Expense:Food:Restaurant
yukai,Expense:Food:Restaurant
safran restauran,Expense:Food:Restaurant
st knuts cafe,Expense:Food:Cafe
biograf panora,Expense:Fun
160210333457,Liability:Transfer
